NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,DAMAGE_SCORE
15,2,152,Mega Beedrill,Bug,Poison,Yellow,Adaptability,,,1,0,1,1.4,40.5,65,150,40,15,80,145,495,2.8816933094778134
16,1,161,Pidgey,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,0.3,1.8,40,45,40,35,35,56,251,0.8638140738396319
17,1,171,Pidgeotto,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.1,30.0,63,60,55,50,50,71,349,1.1517520984528435
18,1,181,Pidgeot,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.5,39.5,83,80,75,70,70,101,479,1.5356694646037936
18,2,182,Mega Pidgeot,Normal,Flying,Brown,No Guard,,,1,0,1,2.2,50.5,83,80,80,135,80,121,579,1.5356694646037936
19,1,191,Rattata,Normal,,Purple,Run Away,Guts,Hustle,1,0,0,0.3,3.5,30,56,35,25,35,72,253,0.9010876561670841
19,2,192,Rattata,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.3,3.8,30,56,35,25,35,72,253,1.074850899162915
20,1,201,Raticate,Normal,,Brown,Run Away,Guts,Hustle,1,0,0,0.7,18.5,55,81,60,50,70,97,413,1.3033589312416796
20,2,202,Raticate,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.7,25.5,75,71,70,40,80,77,413,1.3627573900101344
21,1,211,Spearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,0.3,2.0,40,60,30,31,31,70,262,1.1517520984528435
22,1,221,Fearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,1.2,38.0,65,90,65,61,61,100,442,1.7276281476792639
23,1,231,Ekans,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,2.0,6.9,35,60,44,40,54,55,288,1.0051970092814853
24,1,241,Arbok,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,3.5,65.0,60,95,69,65,79,80,448,1.5915619313623555
25,1,251,Pikachu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.4,6.0,35,55,40,50,50,90,320,0.8721188272701709
26,1,261,Raichu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.8,30.0,60,90,55,90,80,110,485,1.5698138890863096
26,2,262,Raichu,Electric,Psychic,Brown,Surge Surfer,,,7,0,0,0.7,21.0,60,85,50,95,85,110,485,1.9283571195915645
27,1,271,Sandshrew,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,0.6,12.0,50,75,85,20,30,40,300,1.3776170441222215
27,2,272,Sandshrew,Ice,Steel,White,Snow Cloak,,Slush Rush,7,0,0,0.7,40.0,50,75,90,10,35,40,300,0.4978370726285072
28,1,281,Sandslash,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,1.0,29.5,75,100,110,45,55,65,450,1.8368227254962897
28,2,282,Sandslash,Ice,Steel,Blue,Snow Cloak,,Slush Rush,7,0,0,1.2,55.0,75,100,120,25,65,65,450,0.8671614544361699
29,1,291,Nidoran F,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.4,7.0,55,47,52,40,40,41,275,0.7874043239371643
30,1,301,Nidorina,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.8,20.0,70,62,67,55,55,56,365,1.038703576257532
31,1,311,Nidoqueen,Poison,Ground,Blue,Poison Point,Rivalry,Sheer Force,1,0,0,1.3,60.0,90,92,87,75,85,76,505,1.8555888782550785
32,1,321,Nidoran M,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.5,9.0,46,57,40,40,40,50,273,0.954937158817407
33,1,331,Nidorino,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.9,19.5,61,72,57,55,55,65,365,1.206236411137786
34,1,341,Nidoking,Poison,Ground,Purple,Poison Point,Rivalry,Sheer Force,1,0,0,1.4,62.0,81,102,77,85,75,85,505,2.057283321543676
35,1,351,Clefairy,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323,0.8199822274149393
36,1,361,Clefable,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,1.3,40.0,95,70,73,95,90,60,483,1.2755279093121306
37,1,371,Vulpix,Fire,,Brown,Flash Fire,,Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299,0.9534540049628492
37,2,372,Vulpix,Ice,,White,Snow Cloak,,Snow Warning,7,0,0,0.6,9.9,38,41,40,50,65,65,299,0.9900862592313632
38,1,381,Ninetales,Fire,,Yellow,Flash Fire,,Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505,1.5445954880398143
38,2,382,Ninetales,Ice,Fairy,Blue,Snow Cloak,,Snow Warning,7,0,0,1.1,19.9,73,67,75,81,100,109,505,1.7559159424415973
39,1,391,Jigglypuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,0.5,5.5,115,45,20,45,25,20,270,0.8291893953147446
40,1,401,Wigglytuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,1.0,12.0,140,70,45,85,50,45,435,1.2898501704896042
41,1,411,Zubat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,0.8,7.5,40,45,35,30,40,55,245,0.8847406676873292
42,1,421,Golbat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,1.6,55.0,75,80,70,65,75,90,455,1.572872298110809
43,1,431,Oddish,Grass,Poison,Blue,Chlorophyll,,Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320,1.3680379495282724
44,1,441,Gloom,Grass,Poison,Blue,Chlorophyll,,Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395,1.6026462232510577
45,1,451,Vileplume,Grass,Poison,Red,Chlorophyll,,Effect Spore,1,0,0,1.2,18.6,75,80,85,110,90,50,490,2.048218230336676
46,1,461,Paras,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,0.3,5.4,35,70,55,45,55,25,285,1.3063510040207806
47,1,471,Parasect,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,1.0,29.5,60,95,80,60,80,30,405,1.7649913834761846
48,1,481,Venonat,Bug,Poison,Purple,Compound Eyes,Tinted Lens,Run Away,1,0,0,1.0,30.0,60,55,50,40,55,45,305,1.056620880141861
49,1,491,Venomoth,Bug,Poison,Purple,Shield Dust,Tinted Lens,Wonder Skin,1,0,0,1.5,12.5,70,65,60,90,75,90,450,1.2487337674403813
50,1,501,Diglett,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265,1.0102524990229593
50,2,502,Diglett,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.2,1.0,10,55,30,35,45,90,265,1.1438545080258848
51,1,511,Dugtrio,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425,1.8368227254962897
51,2,512,Dugtrio,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.7,66.6,35,100,60,50,70,110,425,2.0797354691379724
52,1,521,Meowth,Normal,,Yellow,Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290,0.7240882951342674
52,2,522,Meowth,Dark,,Blue,Pickup,Technician,Rattled,7,0,0,0.4,4.2,40,35,35,50,40,90,290,0.6168857721232829
52,3,523,Meowth,Steel,,Brown,Pickup,Tough Claws,Unnerve,8,0,0,0.4,7.5,50,65,55,40,40,40,290,1.0627615088086673
53,1,531,Persian,Normal,,Yellow,Limber,Technician,Unnerve,1,0,0,1.0,32.0,65,70,60,65,65,115,440,1.126359570208862
53,2,532,Persian,Dark,,Blue,Fur Coat,Technician,Rattled,7,0,0,1.1,33.0,65,60,60,75,65,115,440,1.0575184664970563
54,1,541,Psyduck,Water,,Yellow,Damp,Cloud Nine,Swift Swim,1,0,0,0.8,19.6,50,52,48,65,50,55,320,1.095070746781106
55,1,551,Golduck,Water,,Blue,Damp,Cloud Nine,Swift Swim,1,0,0,1.7,76.6,80,82,78,95,80,85,500,1.600488014526238
56,1,561,Mankey,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,0.5,28.0,40,80,35,35,45,70,305,1.4568902061655151
57,1,571,Primeape,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,1.0,32.0,65,105,60,60,70,95,455,1.9121683955922348
58,1,581,Growlithe,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,0.7,19.0,55,70,45,70,50,60,350,1.33483560694799
59,1,591,Arcanine,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,1.9,155.0,90,110,80,100,80,95,555,1.9069080099256983
60,1,601,Poliwag,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,0.6,12.4,40,50,40,40,40,90,300,0.6738896903268379
61,1,611,Poliwhirl,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1.0,20.0,65,65,65,50,50,90,385,0.8423621129085443
62,1,621,Poliwrath,Water,Fighting,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1.3,54.0,90,95,95,70,90,70,510,1.7430935334575932
63,1,631,Abra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,0.9,19.5,25,20,15,105,55,90,310,1.7325171567969193
64,1,641,Kadabra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.3,56.5,40,35,30,120,70,105,400,1.980019607767907
65,1,651,Alakazam,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.5,48.0,55,50,45,135,95,120,500,2.2275220587388924
65,2,652,Mega Alakazam,Psychic,,Brown,Trace,,,1,0,1,1.2,48.0,55,50,65,175,95,150,590,2.887528594661524
66,1,661,Machop,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305,1.4568902061655151
67,1,671,Machoke,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405,1.8211127577068889
68,1,681,Machamp,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.6,130.0,90,130,80,65,85,55,505,2.3674465850189526
69,1,691,Bellsprout,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,0.7,4.0,50,75,35,70,30,40,300,1.454326346431044
70,1,701,Weepinbell,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1.0,6.4,65,90,50,85,45,55,390,1.7592558646081045
71,1,711,Victreebel,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1.7,15.5,80,105,65,100,70,70,490,2.064185382785169
72,1,721,Tentacool,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,0.9,45.5,40,40,35,50,100,70,335,0.9195285345411495
73,1,731,Tentacruel,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,1.6,55.0,80,70,65,80,120,100,515,1.508484633062543
74,1,741,Geodude,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,0.4,20.0,40,80,100,30,30,20,300,1.8609501945830262
74,2,742,Geodude,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,0.4,20.3,40,80,100,30,30,20,300,1.6756475259359902
75,1,751,Graveler,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1.0,105.0,55,95,115,45,45,35,390,2.209878356067344
75,2,752,Graveler,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1.0,110.0,55,95,115,45,45,35,390,2.02972715951144
76,1,761,Golem,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1.4,300.0,80,120,130,55,65,45,495,2.7914252918745355
76,2,762,Golem,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1.7,316.0,80,120,130,55,65,45,495,2.5560267261972625
77,1,771,Ponyta,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1.0,30.0,50,85,55,65,65,90,410,1.2394902064517008
77,2,772,Ponyta,Psychic,,White,Run Away,Pastel Veil,Anticipation,8,0,0,0.8,24.0,50,85,55,65,65,90,410,1.07251062087428
78,1,781,Rapidash,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1.7,95.0,65,100,70,80,80,105,500,1.5255264079405624
78,2,782,Rapidash,Psychic,Fairy,White,Run Away,Pastel Veil,Anticipation,8,0,0,1.7,80.0,65,100,70,80,80,105,500,1.5868831946660282
79,1,791,Slowpoke,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.2,36.0,90,65,65,40,40,15,315,0.7770762681858551
79,2,792,Slowpoke,Psychic,,Pink,Gluttony,Own Tempo,Regenerator,8,0,0,1.2,36.0,90,65,65,40,40,15,315,0.6600065359226369
80,1,801,Slowbro,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.6,78.5,95,75,110,100,80,30,490,1.942690670464624
80,2,802,Slowbro,Poison,Psychic,Pink,Quick Draw,Own Tempo,Regenerator,8,0,0,1.6,70.5,95,100,95,100,70,30,490,1.9512065790104076
80,3,803,Mega Slowbro,Water,Psychic,Pink,Shell Armor,,,1,0,1,2.0,120.0,95,75,180,130,80,30,590,2.5254978716040117
81,1,811,Magnemite,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,0.3,6.0,25,35,70,95,55,45,325,1.5979361963144778
82,1,821,Magneton,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,1.0,60.0,50,60,95,120,70,70,465,2.095909108542966
83,1,831,Farfetch'd,Normal,Flying,Brown,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15.0,52,90,55,58,62,60,377,1.7276281476792639
83,2,832,Farfetch'd,Fighting,,Brown,Steadfast,,Scrappy,8,0,0,0.8,42.0,52,95,55,58,62,55,377,1.7300571198215497
84,1,841,Doduo,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.4,39.2,35,85,45,35,35,75,310,1.6316488061415284
85,1,851,Dodrio,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.8,85.2,60,110,70,60,60,110,470,2.111545513830207
86,1,861,Seel,Water,,White,Thick Fat,Hydration,Ice Body,1,0,0,1.1,90.0,65,45,55,45,70,45,325,0.7581259016176913
87,1,871,Dewgong,Water,Ice,White,Thick Fat,Hydration,Ice Body,1,0,0,1.7,120.0,90,70,80,70,95,70,475,1.3447495016325264
88,1,881,Grimer,Poison,,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,0.9,30.0,80,80,50,40,50,25,325,1.3402626790419845
88,2,882,Grimer,Poison,Dark,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,0.7,42.0,80,80,50,40,50,25,325,1.5413511479544364
89,1,891,Muk,Poison,,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,1.2,30.0,105,105,75,65,100,50,500,1.7590947662426009
89,2,892,Muk,Poison,Dark,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,1.0,52.0,105,105,75,65,100,50,500,2.0230233816901966
90,1,901,Shellder,Water,,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,0.3,4.0,30,65,100,45,25,40,305,0.7581259016176913
91,1,911,Cloyster,Water,Ice,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,1.5,132.5,50,95,180,85,45,70,525,1.6329101091252092
92,1,921,Gastly,Ghost,Poison,Purple,Levitate,,,1,0,0,1.3,0.1,30,35,30,100,35,80,310,0.729768709961163
93,1,931,Haunter,Ghost,Poison,Purple,Levitate,,,1,0,0,1.6,0.1,45,50,45,115,55,95,405,1.042526728515941
94,1,941,Gengar,Ghost,Poison,Purple,Cursed Body,,,1,0,0,1.5,40.5,60,65,60,130,75,110,500,1.3552847470707237
94,2,942,Mega Gengar,Ghost,Poison,Purple,Shadow Tag,,,1,0,1,1.4,40.5,60,65,80,170,95,130,600,1.3552847470707237
95,1,951,Onix,Rock,Ground,Grey,Rock Head,Sturdy,Weak Armor,1,0,0,8.8,210.0,35,45,160,30,45,70,385,1.0467844844529504
96,1,961,Drowzee,Psychic,,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1.0,32.4,60,48,45,43,90,42,328,0.7095070261168345
97,1,971,Hypno,Psychic,,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1.6,75.6,85,73,70,73,115,67,483,1.2045119280588135
98,1,981,Krabby,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,0.4,6.5,30,105,90,25,25,50,325,0.4211810564542722
99,1,991,Kingler,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60.0,55,130,115,50,50,75,475,0.8423621129085443
100,1,1001,Voltorb,Electric,,Red,Soundproof,Static,Aftermath,1,0,0,0.5,10.4,40,30,50,55,55,100,330,0.9593307099971857
101,1,1011,Electrode,Electric,,Red,Soundproof,Static,Aftermath,1,0,0,1.2,66.6,60,50,70,80,80,150,490,1.3953901236322757
102,1,1021,Exeggcute,Grass,Psychic,Pink,Chlorophyll,,Harvest,1,0,0,0.4,2.5,60,40,80,60,45,40,325,1.231063490881724
103,1,1031,Exeggutor,Grass,Psychic,Yellow,Chlorophyll,,Harvest,1,0,0,2.0,120.0,95,95,85,125,75,55,530,2.564715606003595
103,2,1032,Exeggutor,Grass,Dragon,Yellow,Frisk,,Harvest,7,0,0,10.9,415.6,95,105,85,125,75,45,530,2.3449447435531754
104,1,1041,Cubone,Ground,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,0.4,6.5,50,50,95,40,50,35,320,0.9184113627481448
105,1,1051,Marowak,Ground,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,1.0,45.0,60,80,110,50,80,45,425,1.4694581803970372
105,2,1052,Marowak,Fire,Ghost,Purple,Cursed Body,Lightning Rod,Rock Head,7,0,0,1.0,34.0,60,80,110,50,80,45,425,1.3300962705633723
106,1,1061,Hitmonlee,Fighting,,Brown,Limber,Reckless,Unburden,1,0,0,1.5,49.8,50,120,53,35,110,87,455,2.1853353092482717
107,1,1071,Hitmonchan,Fighting,,Brown,Keen Eye,Iron Fist,Inner Focus,1,0,0,1.4,50.2,50,105,79,35,110,76,455,1.9121683955922348
108,1,1081,Lickitung,Normal,,Pink,Own Tempo,Oblivious,Cloud Nine,1,0,0,1.2,65.5,90,55,75,60,75,30,385,0.8849968051641021
109,1,1091,Koffing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,0.6,1.0,40,65,95,60,45,35,340,1.0889634267216064
110,1,1101,Weezing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,1.2,9.5,65,90,120,85,70,60,490,1.5077955139222274
110,2,1102,Weezing,Poison,Fairy,Grey,Levitate,Neutralizing Gas,Misty Surge,8,0,0,3.0,16.0,65,90,120,85,70,60,490,1.7568152033711402
111,1,1111,Rhyhorn,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1.0,115.0,80,85,95,30,30,25,345,1.7709537911006095
112,1,1121,Rhydon,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1.9,120.0,105,130,120,45,45,40,485,2.708517562859749
113,1,1131,Chansey,Normal,,Pink,Natural Cure,Serene Grace,Healer,1,0,0,1.1,34.6,250,5,5,35,105,50,450,0.08045425501491874
114,1,1141,Tangela,Grass,,Blue,Chlorophyll,Leaf Guard,Regenerator,1,0,0,1.0,35.0,65,55,115,100,40,60,435,1.7285566870524698
115,1,1151,Kangaskhan,Normal,,Brown,Early Bird,Scrappy,Inner Focus,1,0,0,2.2,80.0,105,95,80,40,80,90,490,1.528630845283455
115,2,1152,Mega Kangaskhan,Normal,,Brown,Parental Bond,,,1,0,1,2.2,100.0,105,125,100,60,100,100,590,2.0113563753729653
116,1,1161,Horsea,Water,,Blue,Swift Swim,Sniper,Damp,1,0,0,0.4,8.0,30,40,70,70,25,60,295,1.179306958071966
117,1,1171,Seadra,Water,,Blue,Poison Point,Sniper,Damp,1,0,0,1.2,25.0,55,65,95,95,45,85,440,1.600488014526238
118,1,1181,Goldeen,Water,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,0.6,15.0,45,67,60,35,50,63,320,0.589653479035983
119,1,1191,Seaking,Water,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,1.3,39.0,80,92,65,65,80,68,450,1.095070746781106
120,1,1201,Staryu,Water,,Brown,Illuminate,Natural Cure,Analytic,1,0,0,0.8,34.5,30,45,55,70,55,85,340,1.179306958071966
121,1,1211,Starmie,Water,Psychic,Purple,Illuminate,Natural Cure,Analytic,1,0,0,1.1,80.0,60,75,85,100,85,115,520,1.942690670464624
122,1,1221,Mr. Mime,Psychic,Fairy,Pink,Soundproof,Filter,Technician,1,0,0,1.3,54.5,40,45,65,100,120,90,460,1.6601712562623019
122,2,1222,Mr. Mime,Psychic,Ice,White,Vital Spilit,Screen Cleaner,Ice Body,8,0,0,1.4,56.8,50,65,65,90,90,100,460,1.71071914268611
123,1,1231,Scyther,Bug,Flying,Green,Swarm,Technician,Steadfast,1,0,0,1.5,56.0,70,110,80,55,80,105,500,2.201081079990876
124,1,1241,Jynx,Ice,Psychic,Red,Oblivious,Forewarn,Dry Skin,1,0,0,1.4,40.6,65,50,35,115,95,95,455,2.6365859365603797
125,1,1251,Electabuzz,Electric,,Yellow,Static,,Vital Spilit,1,0,0,1.1,30.0,65,83,57,95,85,105,490,1.6570257718133292
126,1,1261,Magmar,Fire,,Red,Flame Body,,Vital Spilit,1,0,0,1.3,44.5,65,95,57,100,85,93,495,1.9069080099256983
127,1,1271,Pinsir,Bug,,Brown,Hyper Cutter,Mold Breaker,Moxie,1,0,0,1.5,55.0,65,125,100,55,70,85,500,2.1612028609605183
127,2,1272,Mega Pinsir,Bug,Flying,Brown,Aerilate,,,1,0,1,1.7,59.0,65,155,120,65,90,105,600,3.101523339987155
128,1,1281,Tauros,Normal,,Brown,Intimidate,Anger Point,Sheer Force,1,0,0,1.4,88.4,75,100,95,40,70,110,490,1.6090851002983655
129,1,1291,Magikarp,Water,,Red,Swift Swim,,Rattled,1,0,0,0.9,10.0,20,10,55,15,20,80,200,0.25270863387256354
130,1,1301,Gyarados,Water,Flying,Blue,Intimidate,,Moxie,1,0,0,6.5,235.0,95,125,79,60,100,81,540,1.8092525511442545
130,2,1302,Mega Gyarados,Water,Dark,Blue,Mold Breaker,,,1,0,1,6.5,305.0,95,155,109,70,130,81,640,1.9194955661213535
131,1,1311,Lapras,Water,Ice,Blue,Water Absorb,Shell Armor,Hydration,1,0,0,2.5,220.0,130,85,80,85,95,60,535,1.6329101091252092
132,1,1321,Ditto,Normal,,Purple,Limber,,Imposter,1,0,0,0.3,4.0,48,48,48,48,48,48,288,0.7723608481432211
133,1,1331,Eevee,Normal,,Brown,Run Away,Adaptability,Anticipation,1,0,0,0.3,6.5,55,55,50,45,65,55,325,0.8849968051641021
134,1,1341,Vaporeon,Water,,Blue,Water Absorb,,Hydration,1,0,0,1.0,29.0,130,65,60,110,95,65,525,1.8531966483987972
135,1,1351,Jolteon,Electric,,Yellow,Volt Absorb,,Quick Feet,1,0,0,0.8,24.5,65,65,60,110,95,130,525,1.9186614199943715
136,1,1361,Flareon,Fire,,Red,Flash Fire,,Guts,1,0,0,0.9,25.0,65,130,60,95,110,65,525,1.8115626094294177
137,1,1371,Porygon,Normal,,Pink,Trace,Download,Analytic,1,0,0,0.8,36.5,65,60,70,85,75,40,395,0.9654510601790226
138,1,1381,Omanyte,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,0.4,7.5,35,40,100,90,55,35,355,1.070730878078465
139,1,1391,Omastar,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,1.0,35.0,70,60,125,115,70,55,495,1.5466427268550893
140,1,1401,Kabuto,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,0.5,11.5,30,80,90,55,45,55,355,1.7698768170156454
141,1,1411,Kabutops,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,1.3,40.5,60,115,105,65,70,80,495,2.5023946188065898
142,1,1421,Aerodactyl,Rock,Flying,Purple,Rock Head,Pressure,Unnerve,1,0,0,1.8,59.0,80,105,65,60,75,130,515,2.55543331724842
